Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 4448	67599788055	57.00000011	8.0692E+14	4.95041E+12	0.184284196	0.206227876	1.0095
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	79.83016	8.980366836	61.49489065	79.78547175			
0.1	138.99741	12.69274069	96.91976287	56.41684812			
0.15	170.30537	15.53629909	120.3027728	46.06416359			
0.2	186.53818	17.92931432	135.794988	39.89273588			
0.25	197.9957	20.0339059	145.7239561	35.68114769			
0.3	206.25911	21.93327063	151.6159515	32.57228245			
0.35	212.07568	23.67686178	154.5464816	30.15607379			
0.4	216.51057	25.2969208	155.3031873	28.20842406			
0.45	220.13533	26.81585647	154.4756889	26.59515725			
0.5	222.3895	28.24999459	152.5108787	25.23038149			
0.55	222.77238	29.61166747	149.7495763	24.05622487			
0.6	221.01575	30.91046204	146.4521326	23.0320818			
0.65	217.36673	32.15400706	142.8170029	22.12850842			
0.7	212.88046	33.34849177	138.9945991	21.32356427			
0.75	208.2811	34.4990202	135.0978371	20.60052022			
0.8	203.49536	35.60986064	131.210294	19.94636794			
0.85	198.47627	36.68462581	127.3925919	19.35081926			
0.9	193.69496	37.72640599	123.6874361	18.80561604			
0.95	189.59959	38.73786924	120.1236159	18.30404255			
1	186.19067	39.72133817	116.7191923	17.84057385			
1.05	183.63577	40.67884961	113.4840427	17.41061732			
1.1	181.90527	41.61220173	110.4218887	17.01031973			
1.15	181.01268	42.52299145	107.5319104	16.63642089			
1.2	181.08327	43.41264479	104.8100221	16.28614122			
1.25	181.58414	44.28244148	102.249875	15.95709435			
1.3	182.21883	45.1335352	99.84363795	15.64721836			
1.35	183.1963	45.96697036	97.58259627	15.3547212			
1.4	184.45793	46.78369614	95.45760581	15.07803689			
1.45	185.73813	47.58457823	93.45942921	14.81579016			
1.5	186.96655	48.37040883	91.57897904	14.56676755			
1.55	188.08977	49.14191512	89.80748738	14.32989375			
1.6	189.05849	49.8997665	88.13661814	14.10421203			
1.65	189.84016	50.6445809	86.55853548	13.8888679			
1.7	190.42857	51.37693015	85.06593914	13.68309552			
1.75	190.8439	52.09734466	83.65207534	13.48620618			
1.8	191.12337	52.80631757	82.31073021	13.29757863			
1.85	191.3089	53.50430828	81.03621106	13.11665076			
1.9	191.43762	54.19174567	79.82331972	12.94291261			
1.95	191.53693	54.86903082	78.66732109	12.77590029			
2	191.62392	55.53653955	77.5639092	12.61519075			
2.05	191.7074	56.19462453	76.50917265	12.46039727			
2.1	191.79089	56.84361731	75.49956036	12.31116557			
2.15	191.87529	57.48383001	74.53184882	12.16717038			
2.2	191.96043	58.11555692	73.60311099	12.02811243			
2.25	192.04596	58.73907589	72.71068744	11.8937159			
