Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5921	8.99942E+11	9.655397315	1.00005E+12	11997747276	17.20760551	0.100544668	1.0039
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
1.810442627	59	72.347401	10.12459087	0.318241852			
2.084114186	72	76.39356758	11.33568845	0.296612139			
2.399889063	77	80.51413869	12.67539015	0.276410218			
2.757767257	81	84.60913738	14.12682615	0.257852218			
3.168274597	90	88.69893724	15.71333497	0.240568228			
3.641936912	100	92.76954569	17.45069613	0.224379651			
4.199805861	108	96.85326558	19.38229748	0.208946485			
4.820829785	113	100.6830746	21.40211375	0.195024322			
5.547112001	113	104.410305	23.60848524	0.181809348			
6.37865251	107	107.9025131	25.95051751	0.169545085			
7.33650297	107	111.1356143	28.43143141	0.158090265			
8.441715038	112	114.0672804	31.03793631	0.147378568			
9.704814545	124	116.631193	33.71971344	0.13745358			
11.16790481	136	118.8258967	36.47766048	0.128133835			
