Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 7479	1.49996E+11	62.17065297	1.99999E+13	1.00001E+12	1.12088149	0.70071074	1.4809
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
1.109717346	80	65.08264256	50.89752441	25.86283805			
1.44599533	105	74.02958561	55.79905169	22.65681834			
1.866342809	125	83.73492297	59.08397834	19.9428241			
2.438015382	136	95.13681461	60.29885955	17.44874304			
3.161013047	140	107.5250687	58.82378447	15.32389697			
4.1194053	135	121.5562743	54.6481243	13.42347956			
5.36363384	143	136.9849014	48.54101855	11.76394016			
6.977768161	160	153.7831403	41.8122809	10.31392811			
9.06269166	193	171.7873334	35.7000284	9.050108075			
11.78654333	216	191.0073973	30.65157867	7.935771221			
15.33427606	228	211.0564641	26.56143472	6.957460173			
19.87402884	232	231.145265	23.19453081	6.111381706			
