Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
UGC 2855	5E+12	6.5953173	5E+13	1E+12	0.378714165	0.185265244	1.0092
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	25	26.15491593	12.73384648	32.21437644			
0.1	48.09375	36.80408182	21.52183966	22.77900404			
0.15	67.375	44.85223605	28.43731815	18.59897891			
0.2	82.8125	51.53598254	34.03543035	16.10718822			
0.25	94.375	57.33727722	38.6164309	14.40670712			
0.3	103.09375	62.50480328	42.3770215	13.15146411			
0.35	110	67.18719341	45.45931138	12.17588982			
0.4	115.5	71.48188586	47.97214847	11.38950202			
0.45	120	75.45697987	50.00213414	10.73812548			
0.5	123.65625	79.16236547	51.6199932	10.1870803			
0.55	126.625	82.63593905	52.88457228	9.712999956			
0.6	129.09375	85.90732446	53.84551071	9.299489456			
0.65	131.25	89.00022494	54.54511414	8.934660467			
0.7	133.15625	91.93397649	55.01972132	8.609654256			
0.75	134.875	94.72461122	55.30073379	8.317716232			
0.8	136.375	97.38560782	55.41541228	8.053594111			
0.85	137.625	99.92843503	55.38750648	7.813133926			
0.9	138.625	102.3629539	55.23776234	7.593001345			
0.95	139.375	104.6977215	54.98433711	7.390484813			
1	139.9375	106.940224	54.6431435	7.203353558			
1.05	140.375	109.0970589	54.22813831	7.029753263			
1.1	140.75	111.1740777	53.75156677	6.868128135			
1.15	141.125	113.1765019	53.2241713	6.717161828			
1.2	141.54688	115.1090147	52.65537092	6.575732056			
1.25	142.0625	116.9758377	52.05341664	6.442875289			
1.3	142.625	118.7807927	51.42552667	6.317759004			
1.35	143.1875	120.5273541	50.77800458	6.199659637			
1.4	143.78125	122.2186921	50.11634311	6.087944908			
1.45	144.44794	123.8577091	49.44531563	5.982059528			
1.5	145.10925	125.4470713	48.76905698	5.881513551			
1.55	145.75911	126.9892348	48.09113515	5.785872811			
1.6	146.39186	128.4864683	47.41461492	5.694751009			
1.65	147.00446	129.9408734	46.74211464	5.607803139			
1.7	147.59787	131.3544009	46.0758567	5.524719981			
1.75	148.17635	132.728866	45.41771279	5.445223463			
1.8	148.74474	134.0659612	44.76924424	5.369062741			
1.85	149.30621	135.3672679	44.13173821	5.296010864			
1.9	149.86124	136.6342662	43.50624009	5.225861928			
1.95	150.40816	137.868344	42.89358245	5.158428626			
2	150.94495	139.0708047	42.29441115	5.093540148			
2.05	151.47067	140.2428746	41.70920858	5.031040356			
2.1	151.98642	141.3857089	41.13831456	4.970786202			
2.15	152.49464	142.5003973	40.58194501	4.912646352			
2.2	152.99825	143.5879695	40.04020874	4.856499978			
2.25	153.49959	144.649399	39.51312231	4.802235705			
2.3	154.00027	145.6856083	39.00062345	4.749750679			
2.35	154.50185	146.6974716	38.50258289	4.698949746			
2.4	155.00703	147.6858187	38.01881493	4.649744728			
2.45	155.52144	148.6514383	37.54908689	4.602053778			
2.5	156.05434	149.5950803	37.09312734	4.555800807			
2.55	156.61726	150.5174587	36.65063348	4.510914975			
2.6	157.22025	151.4192536	36.22127762	4.467330234			
2.65	157.86728	152.3011142	35.80471278	4.424984916			
2.7	158.55438	153.1636595	35.40057772	4.38382137			
2.75	159.27164	154.0074814	35.00850121	4.343785634			
2.8	160.00774	154.8331453	34.6281058	4.304827128			
2.85	160.754	155.6411926	34.25901097	4.266898396			
2.9	161.50581	156.4321414	33.90083598	4.229954858			
2.95	162.26178	157.2064881	33.55320214	4.193954587			
3	163.02203	157.9647086	33.21573481	4.158858116			
3.05	163.78673	158.7072597	32.88806505	4.124628249			
3.1	164.55544	159.4345796	32.56983095	4.0912299			
3.15	165.32724	160.1470893	32.26067879	4.058629939			
3.2	166.10138	160.8451935	31.96026386	4.026797055			
3.25	166.87852	161.5292814	31.66825117	3.995701632			
3.3	167.66269	162.1997273	31.38431596	3.965315627			
3.35	168.46359	162.8568916	31.10814404	3.93561247			
3.4	169.29781	163.5011214	30.83943206	3.906566963			
3.45	170.1861	164.1327513	30.57788762	3.87815519			
3.5	171.14644	164.7521036	30.32322928	3.850354436			
3.55	172.1861	165.3594894	30.07518653	3.823143109			
3.6	173.29781	165.9552088	29.8334997	3.796500673			
3.65	174.46352	166.5395515	29.59791973	3.770407575			
3.7	175.66208	167.1127973	29.36820802	3.744845195			
3.75	176.87556	167.6752166	29.14413612	3.719795782			
3.8	178.09013	168.2270705	28.92548551	3.695242407			
3.85	179.29292	168.7686118	28.71204726	3.67116891			
3.9	180.46851	169.3000847	28.5036217	3.647559862			
3.95	181.59909	169.8217258	28.30001815	3.624400517			
4	182.66963	170.3337639	28.10105452	3.601676779			
4.05	183.67409	170.8364207	27.90655702	3.57937516			
4.1	184.61848	171.3299107	27.7163598	3.557482752			
4.15	185.51784	171.8144421	27.5303046	3.535987191			
4.2	186.38947	172.2902165	27.34824044	3.514876631			
4.25	187.24722	172.7574292	27.1700233	3.494139715			
4.3	188.09943	173.2162699	26.99551578	3.473765549			
4.35	188.94992	173.6669226	26.82458678	3.453743679			
4.4	189.79999	174.1095657	26.65711126	3.434064067			
4.45	190.64999	174.5443724	26.49296986	3.414717074			
4.5	191.5	174.971511	26.33204871	3.395693432			
4.55	192.35001	175.391145	26.17423909	3.376984235			
4.6	193.2	175.8034329	26.01943723	3.358580914			
4.65	194.05	176.2085291	25.86754399	3.340475225			
4.7	194.89999	176.6065835	25.71846472	3.32265923			
4.75	195.75	176.9977418	25.57210894	3.305125286			
4.8	196.60001	177.3821458	25.4283902	3.287866028			
4.85	197.45	177.7599334	25.28722582	3.270874358			
4.9	198.3	178.1312388	25.14853674	3.254143434			
4.95	199.14999	178.4961923	25.01224731	3.237666652			
