Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5033	3743006429	57.00000008	4.57134E+13	4.98548E+12	3.744434371	2.241132534	1.2239
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.76	206	8.170908722	53.34158532	223.1798974			
2.28	214	13.90893433	111.0805538	128.8529738			
3.8	222	17.65453286	142.0326851	99.80908435			
5.33	224	20.56298097	158.254397	84.27490375			
6.85	225	22.93679591	165.2543975	74.33897762			
8	222	24.49126602	166.6260223	68.78866423			
10.28	220	27.12419825	163.3143228	60.68275819			
12.56	218	29.31288748	155.744037	54.89933072			
14.91	219	31.22545461	146.3021837	50.38752748			
17.15	217	32.79715544	137.1604619	46.98181685			
19.39	218	34.17236569	128.5592815	44.18480729			
21.64	220	35.39102289	120.7492479	41.82473919			
24.01	222	36.52754857	113.5000334	39.7068824			
26.25	218	37.48430923	107.5283297	37.97495045			
28.5	217	38.34699161	102.2989625	36.44512463			
30.87	207	39.16350606	97.50788778	35.01817873			
33.12	199	39.86240321	93.53304974	33.80778405			
35.36	191	40.49340775	90.03870028	32.71943092			
37.73	193	41.09885611	86.75955895	31.67513446			
39.98	192	41.6211072	83.97764089	30.77091955			
42.22	194	42.09567292	81.47625473	29.9435133			
44.59	196	42.55360964	79.07534669	29.13688592			
