Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 7331	1.27891E+11	49.99998163	6.92546E+13	5031174210	0.192682344	0.1	1.0226
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	33.42496	11.56784816	17.84225667	1.233361689			
0.1	71.70398	16.34852008	28.27696699	0.872118414			
0.15	95.14708	20.00945255	35.27548649	0.712081703			
0.2	107.32276	23.0895767	40.0054737	0.616680845			
0.25	117.44285	25.79779795	43.12141798	0.551576116			
0.3	124.25144	28.24133239	45.05365788	0.503517801			
0.35	130.39847	30.48391639	46.10688876	0.466166901			
0.4	136.9344	32.56710706	46.50567177	0.436059207			
0.45	141.66911	34.51979047	46.41940355	0.411120563			
0.5	143.51205	36.36301332	45.97762203	0.390023212			
0.55	143.83904	38.11267547	45.28012784	0.371872541			
0.6	143.95903	39.78113835	44.404047	0.356040852			
0.65	144.12099	41.37823941	43.40895556	0.342072986			
0.7	144.37587	42.91196058	42.34070736	0.329629777			
0.75	144.95015	44.38888485	41.23435594	0.318452619			
0.8	146.47353	45.81451784	40.11642233	0.308340422			
0.85	149.48618	47.19351999	39.00667748	0.299134148			
0.9	153.46065	48.52987817	37.91955673	0.290706138			
0.95	157.66418	49.82703487	36.86529018	0.282952577			
1	162.1356	51.08798713	35.8508103	0.275788058			
1.05	166.77538	52.31536354	34.88048284	0.269141586			
1.1	171.13425	53.51148483	33.95669585	0.262953596			
1.15	175.25594	54.67841229	33.08033399	0.25717369			
1.2	179.49434	55.81798674	32.25115935	0.251758901			
1.25	183.9558	56.93186033	31.46811576	0.246672338			
1.3	188.63023	58.02152264	30.72957038	0.241882128			
1.35	193.5457	59.08832229	30.03350384	0.237360568			
1.4	198.59357	60.13348507	29.37765819	0.23308345			
1.45	203.25203	61.15812904	28.75965043	0.229029516			
1.5	207.71901	62.16327747	28.17705821	0.225180006			
1.55	211.84045	63.14986971	27.62748289	0.221518299			
1.6	215.52901	64.11877062	27.10859479	0.218029604			
1.65	218.77106	65.07077859	26.61816415	0.214700712			
1.7	221.60423	66.00663252	26.1540811	0.211519785			
1.75	224.0806	66.9270179	25.71436708	0.208476176			
1.8	226.24336	67.83257209	25.29717994	0.205560282			
1.85	228.12952	68.72388891	24.90081421	0.202763413			
1.9	229.78488	69.60152277	24.52369807	0.200077686			
1.95	231.26959	70.46599225	24.16438797	0.19749593			
2	232.64702	71.31778324	23.8215617	0.195011606			
2.05	233.966	72.15735184	23.49401063	0.192618735			
2.1	235.24873	72.98512679	23.18063146	0.19031184			
2.15	236.48907	73.80151183	22.88041794	0.188085894			
2.2	237.65959	74.6068876	22.59245274	0.185936271			
2.25	238.72488	75.40161356	22.31589958	0.183858705			
2.3	239.65669	76.18602955	22.0499959	0.18184926			
2.35	240.44406	76.9604573	21.79404592	0.179904292			
2.4	241.09297	77.72520177	21.54741431	0.178020426			
2.45	241.61716	78.48055232	21.3095203	0.176194527			
2.5	242.02829	79.22678386	21.07983238	0.174423683			
2.55	242.33159	79.96415783	20.8578635	0.172705181			
2.6	242.52576	80.69292309	20.64316666	0.171036493			
2.65	242.60271	81.41331681	20.43533102	0.169415257			
2.7	242.54765	82.12556518	20.23397834	0.167839267			
2.75	242.34454	82.82988416	20.03875987	0.166306456			
2.8	241.98824	83.52648009	19.84935346	0.164814888			
2.85	241.49603	84.2155503	19.66546109	0.163362747			
2.9	240.90944	84.89728366	19.48680655	0.161948324			
2.95	240.28333	85.57186106	19.31313345	0.160570015			
3	239.66965	86.23945592	19.1442034	0.159226309			
3.05	239.10606	86.90023458	18.9797944	0.157915783			
3.1	238.61502	87.55435672	18.81969936	0.156637091			
3.15	238.21082	88.20197575	18.66372485	0.155388967			
3.2	237.90659	88.8432391	18.51168989	0.154170211			
3.25	237.7146	89.47828862	18.36342491	0.15297969			
3.3	237.64076	90.1072608	18.21877085	0.151816329			
3.35	237.6805	90.7302871	18.07757825	0.150679112			
3.4	237.82143	91.34749419	17.93970655	0.149567074			
3.45	238.05002	91.9590042	17.80502334	0.148479299			
3.5	238.35536	92.56493495	17.67340378	0.147414918			
3.55	238.72717	93.16540016	17.54473	0.146373103			
3.6	239.15173	93.76050963	17.41889064	0.145353069			
3.65	239.61098	94.35036947	17.29578031	0.144354067			
3.7	240.08607	94.93508225	17.17529921	0.143375384			
3.75	240.56219	95.51474714	17.05735275	0.142416341			
3.8	241.03133	96.08946012	16.94185117	0.141476289			
3.85	241.49214	96.65931409	16.82870922	0.140554609			
3.9	241.94762	97.22439901	16.71784586	0.139650712			
3.95	242.40256	97.78480205	16.60918403	0.138764031			
4	242.86174	98.34060767	16.50265032	0.137894029			
4.05	243.32991	98.89189779	16.39817481	0.137040188			
4.1	243.81258	99.43875188	16.29569082	0.136202014			
4.15	244.31662	99.98124703	16.19513473	0.135379033			
4.2	244.84885	100.5194581	16.09644577	0.134570793			
4.25	245.41154	101.0534577	15.9995659	0.133776858			
4.3	245.9971	101.5833166	15.9044396	0.132996811			
4.35	246.58475	102.1091033	15.81101377	0.132230253			
4.4	247.14282	102.6308845	15.71923756	0.131476798			
4.45	247.63721	103.1487252	15.62906228	0.130736078			
4.5	248.04243	103.6626883	15.54044124	0.130007737			
4.55	248.34979	104.1728353	15.45332968	0.129291436			
4.6	248.5677	104.6792261	15.36768465	0.128586845			
4.65	248.71567	105.1819186	15.28346491	0.127893649			
4.7	248.81628	105.6809698	15.20063087	0.127211545			
4.75	248.89034	106.1764347	15.11914445	0.126540239			
4.8	248.95563	106.6683672	15.03896907	0.12587945			
4.85	249.02708	107.1568198	14.96006953	0.125228906			
4.9	249.11554	107.6418435	14.88241196	0.124588345			
4.95	249.22485	108.1234883	14.80596375	0.123957514			
5	249.34857	108.6018029	14.7306935	0.123336169			
5.05	249.46857	109.0768348	14.65657093	0.122724075			
5.1	249.55754	109.5486302	14.58356687	0.122121005			
5.15	249.58623	110.0172345	14.51165319	0.121526738			
5.2	249.53329	110.4826919	14.44080275	0.120941064			
5.25	249.39317	110.9450455	14.37098934	0.120363776			
5.3	249.1769	111.4043376	14.30218767	0.119794677			
5.35	248.90559	111.8606093	14.23437332	0.119233575			
5.4	248.60089	112.3139009	14.16752268	0.118680284			
5.45	248.27788	112.7642518	14.10161294	0.118134625			
5.5	247.94295	113.2117007	14.03662204	0.117596423			
5.55	247.5957	113.656285	13.97252866	0.117065511			
5.6	247.23274	114.0980417	13.90931214	0.116541725			
5.65	246.85103	114.5370069	13.84695252	0.116024908			
5.7	246.45036	114.9732158	13.78543045	0.115514906			
5.75	246.03366	115.406703	13.72472721	0.115011571			
5.8	245.60571	115.8375023	13.66482466	0.114514758			
5.85	245.17126	116.2656469	13.60570521	0.114024329			
