Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 1097	384718506.8	57.03889274	8.8907E+14	1.14417E+13	0.440933339	0.100000571	1.2186
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	43.87859	0.677705855	51.32767282	58.81717031			
0.1	90.33922	0.95786155	87.66728192	41.59001998			
0.15	140.10513	1.172452018	116.9079682	33.95810911			
0.2	187.59253	1.353042251	141.1264641	29.40858516			
0.25	227.9332	1.511866622	161.4340501	26.30383821			
0.3	260.99072	1.655203585	178.5536876	24.01200923			
0.35	286.95764	1.786785137	193.0057596	22.23080078			
0.4	306.35907	1.909044379	205.1884979	20.79500999			
0.45	320.55051	2.023672391	215.4192148	19.60572344			
0.5	331.04852	2.131901199	223.9579568	18.59962237			
0.55	338.83231	2.23466146	231.0222229	17.73404411			
0.6	344.26486	2.33267665	236.7967079	16.97905456			
0.65	348.13382	2.426522472	241.440075	16.31294796			
0.7	351.09439	2.516665998	245.0898529	15.71954998			
0.75	353.24884	2.603492402	247.8660944	15.18652807			
0.8	354.64575	2.687323789	249.8741841	14.70429258			
0.85	355.76633	2.768432792	251.2070438	14.26525917			
0.9	356.9379	2.847052619	251.9468981	13.86333999			
0.95	357.9187	2.923384613	252.1667124	13.49358429			
1	358.48886	2.997604048	251.93138	13.15191911			
1.05	358.57678	3.069864637	251.2987156	12.83495882			
1.1	358.30069	3.140302073	250.3202944	12.53986285			
1.15	357.9068	3.209036869	249.0421684	12.2642278			
1.2	357.51288	3.27617664	247.5054822	12.00600462			
1.25	357.11896	3.341817958	245.7470067	11.76343406			
1.3	356.58255	3.406047886	243.799605	11.53499612			
1.35	355.75143	3.46894524	241.6926397	11.3193697			
1.4	354.75842	3.530581648	239.4523324	11.11540039			
1.45	353.741	3.59102244	237.1020821	10.92207433			
1.5	352.71497	3.650327398	234.6627475	10.73849698			
1.55	351.6723	3.708551398	232.1528986	10.56387564			
1.6	350.60541	3.765744957	229.5890423	10.39750499			
1.65	349.50497	3.821954705	226.9858239	10.23875514			
1.7	348.35492	3.877223795	224.3562084	10.08706149			
1.75	347.12759	3.931592255	221.7116443	9.941916349			
1.8	345.785	3.985097297	219.0622105	9.802861719			
1.85	344.29062	4.037773592	216.41675	9.669483236			
1.9	342.6264	4.089653503	213.7829901	9.541404955			
1.95	340.80441	4.140767299	211.1676523	9.418284895			
2	338.86417	4.191143338	208.5765506	9.299811186			
2.05	336.85812	4.240808236	206.0146824	9.185698752			
2.1	334.83441	4.289787013	203.4863103	9.075686415			
2.15	332.82535	4.338103222	200.9950359	8.969534384			
2.2	330.84433	4.385779071	198.5438684	8.867022053			
2.25	328.88828	4.432835528	196.1352857	8.767946071			
2.3	326.94315	4.479292415	193.7712906	8.672118647			
2.35	324.99051	4.525168495	191.4534623	8.579366048			
2.4	323.01358	4.570481552	189.1830022	8.489527279			
2.45	321.00107	4.615248458	186.9607767	8.402452902			
2.5	318.94772	4.65948524	184.7873555	8.318003996			
2.55	316.85052	4.703207139	182.6630466	8.236051219			
2.6	314.70425	4.746428663	180.5879276	8.156473979			
2.65	312.49973	4.789163633	178.561875	8.079159684			
2.7	310.22891	4.831425232	176.5845901	8.004003077			
2.75	307.89362	4.873226044	174.6556224	7.930905627			
2.8	305.51306	4.914578091	172.774391	7.859774992			
2.85	303.12494	4.95549287	170.9402039	7.790524523			
2.9	300.77832	4.995981383	169.1522752	7.723072825			
2.95	298.52066	5.036054167	167.4097406	7.65734335			
3	296.384	5.075721322	165.7116715	7.593264037			
3.05	294.37665	5.114992534	164.0570872	7.530766974			
3.1	292.48615	5.153877102	162.4449665	7.4697881			
3.15	290.69058	5.192383957	160.8742569	7.410266927			
3.2	288.97125	5.230521684	159.3438838	7.352146289			
3.25	287.31754	5.268298537	157.8527583	7.295372109			
3.3	285.72452	5.305722463	156.3997837	7.239893189			
3.35	284.18927	5.342801112	154.9838615	7.185661016			
3.4	282.71069	5.379541856	153.6038968	7.132629583			
3.45	281.29242	5.415951801	152.2588027	7.080755224			
3.5	279.94275	5.452037802	150.9475039	7.029996468			
3.55	278.67026	5.487806474	149.6689403	6.980313892			
3.6	277.47806	5.523264205	148.4220698	6.931669997			
3.65	276.36243	5.558417167	147.2058701	6.884029088			
3.7	275.31778	5.593271324	146.0193413	6.837357167			
3.75	274.34232	5.627832443	144.861507	6.791621823			
3.8	273.43906	5.662106107	143.7314156	6.746792146			
3.85	272.6116	5.696097715	142.6281413	6.702838635			
3.9	271.86081	5.729812497	141.5507848	6.659733116			
3.95	271.18658	5.763255521	140.4984733	6.617448669			
4	270.59363	5.796431696	139.4703616	6.575959553			
4.05	270.09344	5.829345783	138.4656314	6.535241146			
4.1	269.69928	5.8620024	137.4834916	6.495269877			
4.15	269.41779	5.894406026	136.523178	6.456023174			
4.2	269.24649	5.926561011	135.5839531	6.417479408			
4.25	269.17978	5.958471576	134.6651054	6.379617842			
4.3	269.21747	5.990141825	133.7659493	6.342418587			
4.35	269.36642	6.021575741	132.8858246	6.305862556			
4.4	269.63263	6.052777201	132.0240953	6.269931423			
4.45	270.01178	6.08374997	131.1801497	6.234607584			
4.5	270.48688	6.114497713	130.3533993	6.199874124			
4.55	271.03476	6.145023996	129.5432783	6.165714778			
4.6	271.63507	6.175332287	128.7492426	6.132113902			
4.65	272.27478	6.205425966	127.9707696	6.099056444			
4.7	272.94681	6.235308323	127.2073571	6.066527911			
4.75	273.64658	6.264982562	126.4585225	6.034514347			
4.8	274.37061	6.294451807	125.7238025	6.003002308			
4.85	275.11703	6.323719102	125.0027519	5.971978832			
4.9	275.88611	6.352787415	124.2949434	5.941431426			
4.95	276.67896	6.38165964	123.5999664	5.911348035			
5	277.49619	6.410338602	122.9174268	5.881717031			
5.05	278.33765	6.438827054	122.2469459	5.852527189			
5.1	279.20383	6.467127687	121.5881601	5.823767667			
5.15	280.09717	6.495243125	120.9407203	5.795427997			
5.2	281.02109	6.523175931	120.3042908	5.767498061			
5.25	281.97739	6.55092861	119.6785495	5.73996808			
5.3	282.96387	6.578503606	119.0631866	5.712828599			
5.35	283.97458	6.605903311	118.4579045	5.686070473			
5.4	285.00208	6.633130059	117.8624171	5.659684852			
5.45	286.04034	6.660186134	117.2764494	5.633663175			
5.5	287.08575	6.68707377	116.6997369	5.60799715			
5.55	288.13763	6.713795149	116.1320252	5.582678749			
5.6	289.19806	6.740352409	115.5730696	5.557700195			
5.65	290.27203	6.766747638	115.0226347	5.533053953			
5.7	291.36697	6.792982883	114.4804937	5.508732719			
5.75	292.49026	6.819060145	113.9464285	5.484729413			
5.8	293.64536	6.844981385	113.4202287	5.461037166			
5.85	294.82764	6.87074852	112.9016921	5.437649319			
5.9	296.02246	6.896363431	112.3906234	5.414559409			
5.95	297.2067	6.921827959	111.8868346	5.391761163			
6	298.35413	6.947143907	111.3901444	5.369248492			
6.05	299.44312	6.972313042	110.9003778	5.347015483			
6.1	300.46375	6.997337097	110.4173662	5.325056395			
6.15	301.41959	7.02221777	109.9409466	5.303365647			
6.2	302.32343	7.046956724	109.4709619	5.281937819			
6.25	303.18964	7.071555593	109.0072602	5.260767643			
6.3	304.02859	7.096015976	108.5496948	5.239849995			
6.35	304.84521	7.120339445	108.098124	5.219179894			
6.4	305.63992	7.144527539	107.6524108	5.198752497			
6.45	306.40891	7.168581769	107.2124227	5.178563091			
6.5	307.14343	7.192503618	106.7780315	5.15860709			
6.55	307.83054	7.216294543	106.3491134	5.138880031			
6.6	308.45724	7.239955972	105.9255482	5.119377569			
6.65	309.01645	7.263489307	105.5072197	5.100095476			
6.7	309.51013	7.286895926	105.0940155	5.081029632			
6.75	309.94687	7.310177182	104.6858266	5.062176024			
6.8	310.33597	7.333334403	104.2825472	5.043530746			
6.85	310.68314	7.356368894	103.884075	5.025089986			
6.9	310.991	7.379281938	103.4903107	5.006850035			
6.95	311.26245	7.402074794	103.101158	4.988807274			
7	311.50354	7.4247487	102.7165233	4.970958174			
7.05	311.72302	7.447304872	102.3363161	4.953299297			
7.1	311.92957	7.469744508	101.9604482	4.935827288			
7.15	312.12958	7.492068782	101.5888342	4.918538873			
7.2	312.32614	7.514278851	101.221391	4.90143086			
7.25	312.51874	7.536375851	100.8580378	4.884500132			
7.3	312.7034	7.5583609	100.4986964	4.86774365			
7.35	312.87292	7.580235098	100.1432904	4.851158445			
7.4	313.01837	7.601999527	99.79174566	4.834741618			
7.45	313.13263	7.62365525	99.44399012	4.81849034			
7.5	313.21426	7.645203314	99.0999536	4.802401846			
7.55	313.26987	7.66664475	98.75956783	4.786473438			
7.6	313.31317	7.687980571	98.42276635	4.770702478			
7.65	313.3613	7.709211775	98.08948446	4.755086388			
