Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 4062	1.03641E+12	19.07152794	1.98314E+14	41583519.44	0.100000001	0.100050651	1.059
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	18.45732	20.31602813	33.70713366	0.112185394			
0.1	32.42142	28.6812098	48.06398992	0.079327053			
0.15	42.63072	35.06618866	54.50976967	0.064770267			
0.2	51.87294	40.42082744	56.62111859	0.056092697			
0.25	61.24684	45.11378447	56.28928823	0.050170833			
0.3	70.32983	49.3344984	54.62265216	0.045799495			
0.35	78.14798	53.195723	52.29192988	0.042402093			
0.4	83.94754	56.7710668	49.70305473	0.039663526			
0.45	87.73579	60.11175884	47.09590244	0.037395131			
0.5	90.54258	63.25517247	44.60490895	0.035476136			
0.55	93.68038	66.22957776	42.29785939	0.033825169			
0.6	97.68882	69.0569819	40.20125389	0.032385134			
0.65	102.21957	71.75492141	38.31700614	0.03111463			
0.7	106.51521	74.33764384	36.63336019	0.029982808			
0.75	109.34573	76.81691524	35.13188288	0.028966144			
0.8	110.20883	79.2025891	33.79178539	0.028046348			
0.85	110.11334	81.50301753	32.5924487	0.027208955			
0.9	109.9706	83.72535509	31.51477033	0.026442351			
0.95	110.23155	85.87578781	30.54176627	0.025737094			
1	111.04759	87.95970858	29.65872605	0.025085417			
1.05	112.12003	89.9818537	28.85311959	0.02448086			
1.1	113.45983	91.9464105	28.11438219	0.023918006			
1.15	115.2562	93.85710323	27.43365485	0.023392272			
1.2	117.26782	95.7172624	26.80352318	0.022899748			
1.25	119.22684	97.52988123	26.21777727	0.022437079			
1.3	121.02487	99.29766207	25.67120183	0.022001366			
1.35	122.65874	101.023055	25.15939866	0.021590089			
1.4	124.23682	102.7082897	24.67863944	0.021201047			
1.45	125.55412	104.3554031	24.22574541	0.020832305			
1.5	126.83749	105.9662616	23.79798978	0.020482157			
1.55	128.0714	107.5425811	23.39301895	0.020149091			
1.6	129.26572	109.0859432	23.00878893	0.019831763			
1.65	130.44807	110.5978104	22.64351411	0.01952897			
1.7	131.64696	112.0795376	22.29562576	0.019239636			
1.75	132.87556	113.5323837	21.96373835	0.018962793			
1.8	134.12399	114.9575207	21.64662206	0.018697566			
1.85	135.36311	116.3560419	21.34318023	0.018443165			
1.9	136.55753	117.7289695	21.05243077	0.018198874			
1.95	137.68117	119.0772608	20.77349064	0.01796404			
2	138.72804	120.4018138	20.505563	0.017738068			
2.05	139.71411	121.7034729	20.2479263	0.017520415			
2.1	140.67232	122.9830324	19.99992515	0.017310582			
2.15	141.64429	124.2412416	19.76096245	0.017108112			
2.2	142.67039	125.4788076	19.53049275	0.016912584			
2.25	143.77803	126.696399	19.3080165	0.016723611			
2.3	144.97047	127.8946487	19.09307507	0.016540834			
2.35	146.22363	129.0741568	18.88524648	0.016363921			
2.4	147.49631	130.2354926	18.68414163	0.016192567			
2.45	148.75038	131.3791968	18.48940101	0.016026485			
2.5	149.96953	132.5057841	18.30069183	0.015865411			
2.55	151.16605	133.6157442	18.1177055	0.015709097			
2.6	152.37335	134.709544	17.94015534	0.015557315			
2.65	153.62939	135.7876289	17.76777462	0.015409849			
2.7	154.9594	136.850424	17.60031479	0.015266498			
2.75	156.36452	137.898336	17.43754387	0.015127075			
2.8	157.82014	138.9317535	17.27924508	0.014991404			
2.85	159.28217	139.9510489	17.12521554	0.014859318			
2.9	160.69522	140.9565788	16.97526515	0.014730664			
2.95	161.9975	141.9486851	16.82921553	0.014605294			
3	163.12163	142.9276961	16.68689916	0.014483072			
3.05	163.99872	143.8939268	16.54815848	0.014363868			
3.1	164.57007	144.8476801	16.41284515	0.014247559			
3.15	164.80243	145.7892472	16.28081939	0.014134031			
3.2	164.69591	146.7189082	16.15194931	0.014023174			
3.25	164.2795	147.6369329	16.02611037	0.013914886			
3.3	163.60075	148.5435812	15.90318484	0.013809067			
3.35	162.71825	149.4391035	15.78306135	0.013705627			
3.4	161.69905	150.3237416	15.66563443	0.013604477			
3.45	160.61739	151.1977286	15.5508041	0.013505534			
3.5	159.55138	152.0612896	15.43847555	0.013408719			
3.55	158.57736	152.9146422	15.32855877	0.013313957			
3.6	157.76044	153.7579966	15.22096822	0.013221175			
3.65	157.14165	154.591556	15.11562259	0.013130307			
3.7	156.72551	155.4155171	15.01244451	0.013041287			
3.75	156.47498	156.2300704	14.91136032	0.012954053			
3.8	156.31737	157.0354001	14.81229981	0.012868547			
