Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5907	58751424920	57	7.86171E+12	9.52169E+12	8.026866439	4.049381604	0.9882
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
5.03	214	79.3985236	68.52867155	216.6219431			
7.55	220	94.70470493	83.61092996	176.8124996			
10.07	235	106.5838908	92.85093835	153.098771			
12.58	235	116.2032816	98.0985546	136.9765171			
15.1	230	124.2734565	100.5990671	125.0253175			
17.61	231	131.1149214	101.1597171	115.7728599			
20.13	232	137.039559	100.3787149	108.2840654			
22.65	225	142.200373	98.68311274	102.0827443			
25.16	224	146.7149687	96.3992695	96.8570241			
27.68	229	150.7214519	93.73988495	92.34287609			
30.2	218	154.2807561	90.88183025	88.40624982			
32.71	214	157.4448264	87.95835839	84.94663263			
35.23	213	160.2905067	85.03200662	81.85215503			
37.75	211	162.8470844	82.17375041	79.07295369			
40.26	217	165.141346	79.43358774	76.5683969			
42.78	216	167.2213016	76.81399469	74.27900022			
45.29	215	169.0955382	74.34902479	72.19136929			
47.81	217	170.8005666	72.02440952	70.26306133			
50.33	214	172.3471858	69.8499906	68.48145429			
