Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 2955	36468030703	57.00000017	1.05614E+14	4.26893E+12	2.224632769	1.602413751	1.021372458
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.75	169	25.33904542	89.95286959	148.6429591			
1.55	203	36.09404591	139.9653014	103.3972826			
2.3	232	43.59515583	167.6115535	84.88111116			
3.06	256	49.85788	183.8357145	73.58923038			
3.85	248	55.43721107	192.3516545	65.60615859			
4.61	253	60.15977998	195.134105	59.95487633			
5.36	269	64.34434296	194.3836848	55.6022773			
6.12	268	68.19747723	191.2722279	52.03544382			
6.91	260	71.86175553	186.4425014	48.97065924			
7.66	245	75.06911312	180.9650737	46.51152609			
8.42	247	78.08765366	174.9583847	44.36279788			
8.86	267	79.74059564	171.3923049	43.2472118			
9.21	255	81.01006056	168.5472539	42.41750885			
10.82	253	86.39177577	155.8118496	39.13464006			
11.56	271	88.64382671	150.3295013	37.86134668			
12.4	276	91.0538455	144.4762664	36.55645984			
14.17	275	95.68694529	133.510811	34.19716069			
16.88	275	101.8158853	120.0768915	31.33204583			
19.49	276	106.8439234	110.1993016	29.15876022			
22.19	267	111.3309585	102.2331769	27.32727474			
24.8	257	115.1071173	96.05765589	25.84932065			
27.51	254	118.5455992	90.76825092	24.54311481			
30.12	248	121.4669066	86.4653873	23.45565097			
35.43	227	126.4536492	79.3876668	21.62665728			
