Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 3495	3.05088E+12	5.799994245	4.11469E+11	6.4871E+12	6.455532903	0.1	1.588142964
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	12.53553	19.14601079	0.415478063	44.28750268			
0.1	20.69079	26.92319273	0.773261682	31.31599347			
0.15	24.7956	32.78872595	1.106156351	25.56940159			
0.2	27.36611	37.65000562	1.421881123	22.14375134			
0.25	29.4494	41.86100703	1.724253987	19.80597331			
0.3	31.94083	45.60454296	2.015592151	18.08029726			
0.35	35.75065	48.98997571	2.297464809	16.73910261			
0.4	40.11559	52.0890636	2.571011092	15.65799673			
0.45	44.12155	54.95200258	2.837098896	14.76250089			
0.5	47.81378	57.61559831	3.096413482	14.00493803			
0.55	51.19867	60.10783172	3.349510972	13.35318448			
0.6	53.78985	62.4505933	3.596852643	12.7847008			
0.65	55.32957	64.66141203	3.838827951	12.28314321			
0.7	56.61401	66.75459767	4.075770603	11.83633297			
0.75	58.33426	68.74202315	4.307970112	11.43498402			
0.8	60.4108	70.63367688	4.535680338	11.07187567			
0.85	62.80232	72.4380629	4.759125938	10.74129714			
0.9	65.4318	74.16249725	4.978507328	10.43866449			
0.95	67.89999	75.81333179	5.194004573	10.16024993			
1	69.81017	77.39612614	5.405780474	9.902986655			
1.05	71.25837	78.91578174	5.613983052	9.664325399			
1.1	72.58457	80.37664783	5.818747576	9.442127297			
1.15	73.91077	81.78260625	6.020198228	9.234582671			
1.2	75.22751	83.13714	6.218449482	9.040148629			
1.25	76.41074	84.44338927	6.41360727	8.857500536			
1.3	77.35527	85.70419766	6.605769955	8.685493861			
1.35	78.15868	86.9221505	6.795029168	8.523133865			
1.4	78.81857	88.09960705	6.981470518	8.369551306			
1.45	79.33837	89.23872759	7.165174208	8.223982787			
1.5	79.94361	90.3414965	7.346215565	8.085754744			
1.55	80.71271	91.40974183	7.524665502	7.954270295			
1.6	81.69719	92.44515228	7.700590926	7.828998367			
1.65	82.89749	93.44929172	7.874055093	7.709464655			
1.7	84.25789	94.42361188	8.045117921	7.595244049			
1.75	85.69202	95.36946336	8.213836266	7.485954264			
1.8	87.1236	96.28810527	8.380264178	7.381250447			
1.85	88.51504	97.18071377	8.544453112	7.280820591			
1.9	89.87053	98.04838948	8.706452133	7.184381623			
1.95	91.22116	98.89216416	8.866308089	7.091676041			
2	92.60713	99.71300659	9.024065774	7.002469017			
2.05	94.06578	100.5118278	9.179768073	6.916545898			
2.1	95.62607	101.2894858	9.333456091	6.833710025			
2.15	97.30688	102.0467897	9.485169271	6.753780842			
2.2	99.11514	102.7845037	9.634945507	6.676592241			
2.25	101.03965	103.5033502	9.78282124	6.601991103			
2.3	103.04197	104.2040131	9.928831545	6.529836028			
2.35	105.05388	104.8871406	10.07301022	6.459996202			
2.4	106.99121	105.5533475	10.21538986	6.392350399			
2.45	108.78096	106.2032178	10.35600192	6.326786097			
2.5	110.38464	106.8373066	10.49487679	6.263198693			
2.55	111.80149	107.4561422	10.63204386	6.201490797			
2.6	113.05244	108.0602277	10.76753154	6.141571607			
2.65	114.15948	108.6500426	10.90136736	6.083356344			
2.7	115.13416	109.2260444	11.03357798	6.026765753			
2.75	115.97633	109.7886698	11.16418925	5.971725643			
2.8	116.67765	110.3383363	11.29322625	5.918166484			
2.85	117.22692	110.875443	11.42071332	5.866023031			
2.9	117.61815	111.4003716	11.54667411	5.815233997			
2.95	117.85901	111.9134878	11.67113159	5.765741744			
3	117.97371	112.415142	11.79410811	5.717492011			
3.05	117.99674	112.9056701	11.91562541	5.670433663			
3.1	117.96177	113.3853943	12.03570465	5.624518465			
3.15	117.89359	113.8546239	12.15436643	5.57970087			
3.2	117.80685	114.313656	12.27163084	5.535937835			
3.25	117.70966	114.7627762	12.38751743	5.493188641			
3.3	117.60829	115.2022588	12.5020453	5.451414737			
3.35	117.51128	115.6323682	12.61523307	5.410579594			
3.4	117.43299	116.0533583	12.72709891	5.370648572			
3.45	117.39597	116.4654739	12.83766057	5.331588791			
3.5	117.43041	116.8689509	12.94693537	5.293369024			
3.55	117.57151	117.2640165	13.05494026	5.255959587			
3.6	117.85925	117.6508899	13.16169178	5.219332244			
3.65	118.34364	118.0297824	13.26720613	5.18346012			
3.7	119.08886	118.400898	13.37149914	5.148317612			
3.75	120.16365	118.7644339	13.4745863	5.113880319			
3.8	121.6135	119.1205801	13.57648279	5.080124964			
3.85	123.42938	119.4695205	13.67720344	5.047029335			
3.9	125.53557	119.8114328	13.7767628	5.014572218			
3.95	127.80529	120.1464889	13.87517512	4.982733343			
4	130.09274	120.4748547	13.97245436	4.951493327			
4.05	132.26335	120.7966912	14.06861421	4.920833631			
4.1	134.21294	121.112154	14.16366808	4.890736507			
4.15	135.87523	121.4213938	14.25762913	4.861184958			
4.2	137.22064	121.7245565	14.35051028	4.832162699			
4.25	138.25015	122.0217835	14.44232419	4.803654116			
4.3	138.9886	122.3132118	14.5330833	4.775644232			
4.35	139.47755	122.5989744	14.6227998	4.748118676			
4.4	139.76591	122.8792	14.71148569	4.721063648			
4.45	139.89813	123.1540135	14.79915274	4.694465895			
4.5	139.90674	123.4235363	14.8858125	4.668312678			
4.55	139.81355	123.687886	14.97147635	4.642591752			
4.6	139.63678	123.9471768	15.05615543	4.617291336			
4.65	139.39647	124.2015197	15.13986074	4.592400096			
4.7	139.11403	124.4510223	15.22260305	4.567907121			
4.75	138.80826	124.6957892	15.30439297	4.543801902			
4.8	138.49281	124.9359223	15.38524095	4.520074315			
