Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 4519	56805214948	50.00001032	9.53006E+13	9.75723E+11	1.81469712	0.965318357	1.809
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.090827931	16	10.38523196	17.32364486	123.0169507			
0.144256125	39	13.07870991	25.52736991	97.61297212			
0.197684319	54	15.29943781	33.00938755	83.38511968			
0.229741236	59	16.48632793	37.2246624	77.34908679			
0.272483792	63	17.94437861	42.57386923	71.02386961			
0.315226347	65	19.28959737	47.64906273	66.0333625			
0.368654542	66	20.84559272	53.65276491	61.06113506			
0.432768375	68	22.5664717	60.41560479	56.35687573			
0.502225028	72	24.28769501	67.26142645	52.3149111			
0.593052958	75	26.36107649	75.54968109	48.14242129			
0.689223708	80	28.38220207	83.60268652	44.65751608			
0.812108555	79	30.75892155	92.94584557	41.14031612			
0.951021861	78	33.22520779	102.3904904	38.01713783			
1.111306444	73	35.8408611	112.009995	35.16881628			
1.298305125	73	38.64474527	121.7382066	32.53765737			
1.517360722	74	41.65910153	131.3816913	30.09748789			
1.779158875	77	44.95741019	140.8113015	27.79503989			
2.078356763	82	48.40391778	149.2624832	25.71666324			
2.436325666	92	52.16719772	156.7167817	23.75237259			
2.847722763	102	56.10560942	162.4376458	21.96978536			
3.333919333	109	60.33512508	166.1776555	20.30472555			
3.900258194	118	64.79825141	167.4880116	18.77275397			
4.562767805	126	69.51359668	166.1278667	17.35643328			
