Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 1003	4.99999E+12	7.364937045	1.3E+15	35998793.79	0.149805796	0.1	1.4507
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	74.375	27.65333718	81.33644156	0.104327728			
0.1	146.15625	38.9327532	124.5827881	0.073770844			
0.15	201	47.47065638	150.6964916	0.060233642			
0.2	228.09375	54.57212494	166.0519064	0.052163864			
0.25	238.625	60.74544971	174.2061978	0.046656779			
0.3	243.375	66.25272261	177.4449158	0.042591617			
0.35	243.9375	71.25048293	177.3295572	0.039432175			
0.4	242.78125	75.84128194	174.959698	0.036885422			
0.45	241.75	80.09674366	171.1208732	0.034775909			
0.5	241.07812	84.06930527	166.3768527	0.032991324			
0.55	240.5625	87.79877185	161.1311259	0.031455994			
0.6	239.875	91.31623939	155.6697296	0.030116821			
0.65	238.6875	94.64657369	150.1920118	0.028935306			
0.7	236.70312	97.81004699	144.8332142	0.027882758			
0.75	233.625	100.8234581	139.6812986	0.026937304			
