Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 4013	26527192073	65.57023759	2.34688E+13	1.36128E+13	2.497771382	2.472351253	0.259396707
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
5.49	198	59.94872953	97.49603373	151.3695601			
6.17	195	63.14796123	96.88953553	142.7848531			
6.92	194	66.41018887	95.42499157	134.8253865			
7.69	195	69.5118146	93.33385792	127.8973515			
8.36	195	72.03396047	91.20312911	122.6652596			
9.12	195	74.72044037	88.58124068	117.4430448			
9.88	192	77.24246297	85.85493917	112.8356276			
10.56	188	79.37438874	83.39798003	109.1422147			
11.31	186	81.60273893	80.72386274	105.4613724			
12.08	186	83.76871758	78.05922979	102.0448882			
12.77	186	85.61408609	75.76510111	99.24971595			
13.47	185	87.40145267	73.54227657	96.63644016			
14.17	180	89.10991068	71.43224874	94.21928323			
14.98	163	90.99584537	69.13516006	91.63656778			
15.68	162	92.55275575	67.27427248	89.56775564			
16.37	164	94.02587673	65.54968181	87.65978102			
17.19	166	95.70241365	63.63567122	85.54345419			
17.88	166	97.05480086	62.13288086	83.87662824			
18.58	166	98.37569883	60.70253495	82.28143672			
19.39	166	99.8438032	59.15752689	80.54448641			
20.09	168	101.0634219	57.91027847	79.12883154			
20.79	172	102.2400918	56.73807698	77.78529023			
21.48	173	103.3601157	55.65034385	76.52574788			
22.3	171	104.6424873	54.4377691	75.10559476			
22.99	170	105.6827322	53.47911852	73.96993473			
23.69	172	106.7036456	52.55924799	72.86889616			
24.39	173	107.6915359	51.68813027	71.81560459			
25.2	176	108.7954525	50.73580149	70.65199845			
25.9	178	109.7171758	49.95686847	69.69070198			
26.59	180	110.5977985	49.2257385	68.78053545			
27.41	180	111.6099129	48.40034686	67.74390127			
28.1	180	112.4338897	47.73948568	66.9070006			
28.8	180	113.2450884	47.09802786	66.08889297			
29.61	178	114.1540122	46.38942723	65.17867348			
30.31	174	114.9148741	45.80397143	64.42163649			
31.01	170	115.6538465	45.24165245	63.6903797			
