Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 6195	3.24389E+11	22.00000034	1.11152E+15	2.88886E+12	0.17108586	0.100002808	1.06750865
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
1.33	175	60.64387879	106.4596544	5.730471001			
2.34	237	78.1837727	77.37085168	4.320243355			
3.33	247	90.79687351	64.38898607	3.621546142			
4.34	242	100.9534401	56.25244782	3.172278259			
5.35	240	109.2640258	50.60180437	2.857190836			
6.34	233	116.1038417	46.45171317	2.624650681			
7.34	233	122.0061609	43.1532691	2.439316254			
8.32	247	127.010453	40.52102596	2.29115503			
9.34	248	131.552696	38.2368621	2.162433205			
10.38	242	135.6059714	36.26552423	2.051244657			
11.36	252	138.9776329	34.66245181	1.960771446			
12.34	245	141.9797749	33.25499008	1.881302184			
13.32	247	144.663487	32.00630279	1.810773071			
14.3	238	147.0705541	30.88859505	1.747624486			
15.47	249	149.6298635	29.69617886	1.680238698			
16.35	250	151.3570413	28.88512702	1.634395888			
17.92	253	154.0749497	27.58964874	1.561158999			
19.1	258	155.8516324	26.72315894	1.512165955			
22.52	254	159.9700197	24.6092416	1.392617815			
26.05	256	162.997592	22.8804355	1.294828577			
29.48	255	165.0836148	21.50775901	1.217173252			
33	244	166.5794476	20.3280293	1.150427275			
36.43	246	167.5641172	19.34719218	1.094930501			
