Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 3198	31222952348	57.00000002	1.24905E+13	1.42816E+12	4.159903581	0.306652735	1.2296
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.32	24.4	15.39150151	13.61752641	25.18847121			
0.64	43.3	21.68617712	23.78191967	17.8109388			
0.96	45.5	26.46207107	32.3280208	14.54257063			
1.28	58.5	30.44363475	39.72227893	12.5942356			
1.61	68.8	34.01466967	46.39812061	11.22958897			
1.93	76.9	37.10662655	52.10960326	10.25647543			
2.24	82	39.83576878	57.03177514	9.520347245			
2.57	86.9	42.51105104	61.69670652	8.888126696			
2.89	97.6	44.91868195	65.72123789	8.381618258			
3.21	100	47.17164377	69.3090802	7.952877301			
3.54	107	49.35600496	72.59959405	7.573125733			
3.85	113	51.29584641	75.34945925	7.261835948			
4.17	117	53.19767385	77.87432626	6.977643404			
4.5	119	55.06347024	80.17509319	6.716925655			
4.82	127	56.78954466	82.13900096	6.490128254			
5.15	132	58.49197193	83.91353216	6.278749893			
5.46	134	60.02576348	85.3686771	6.097902512			
5.78	137	61.54802317	86.6739131	5.926699107			
6.1	140	63.01310461	87.79593321	5.769150663			
6.43	142	64.46857127	88.77741371	5.61915888			
6.74	144	65.78820531	89.55058602	5.48841383			
7.06	146	67.10527644	90.2101069	5.362588195			
8.04	147	70.88280311	91.47167963	5.025147038			
9.04	148	74.39226546	91.80153014	4.739064101			
10.04	152	77.6073346	91.39967583	4.496865953			
11.04	155	80.56987237	90.4518464	4.288370123			
12.05	156	83.33923215	89.08902084	4.104717518			
14.05	157	88.26416252	85.62567165	3.801356811			
16.07	153	92.61427715	81.61550677	3.554420949			
18.13	153	96.52552858	77.4163364	3.346400344			
20.05	154	99.77393799	73.62277609	3.182142396			
22.12	153	102.9138424	69.79107243	3.02959264			
24.03	150	105.5247773	66.54562989	2.906698007			
26.1	149	108.0862753	63.35793955	2.789051571			
28.16	148	110.3938044	60.51529267	2.685100052			
30.08	146	112.3538451	58.13976916	2.597992436			
32.14	147	114.2758099	55.85516823	2.513355156			
34.06	148	115.9166452	53.94368071	2.441487339			
36.12	148	117.5327178	52.09668733	2.370843721			
38.19	149	119.0213878	50.42489815	2.305695591			
40.1	150	120.2865386	49.02379111	2.250114467			
42.17	150	121.5512962	47.63771514	2.194193872			
44.08	149	122.628947	46.46489012	2.146129901			
