Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 6951	33283139322	59.20236484	1.00871E+15	1.29352E+12	0.206185563	0.354651217	1.0174
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	64.72935	6.422070834	67.0671337	70.1363755			
0.1	136.68768	9.077073404	107.1509674	49.59390672			
0.15	194.68414	11.11085357	134.6472584	40.49325528			
0.2	228.14102	12.82250649	153.7469736	35.06818775			
0.25	245.69559	14.3279566	166.7961952	31.36594066			
0.3	255.51944	15.6866928	175.3423688	28.6330554			
0.35	260.97192	16.93407524	180.4879318	26.50905821			
0.4	263.5759	18.09315669	183.0522792	24.79695336			
0.45	264.53809	19.17995916	183.659931	23.37879183			
0.5	264.58121	20.20615512	182.7942338	22.17906934			
0.55	264.1748	21.18056159	180.8327141	21.14691288			
0.6	263.38113	22.1100326	178.0716879	20.24662764			
0.65	262.30783	23.0000221	174.7441063	19.45233063			
0.7	261.1138	23.85495478	171.0329008	18.74473482			
0.75	259.79309	24.67847943	167.0811982	18.10913429			
0.8	258.14313	25.47364729	163.0002809	17.53409388			
0.85	256.0726	26.24304092	158.8758766	17.01056967			
0.9	253.72736	26.98886934	154.7731832	16.53130224			
0.95	251.2321	27.71303969	150.7409164	16.09038806			
1	248.56088	28.41721217	146.8145898	15.68297033			
1.05	245.65468	29.10284267	143.0191859	15.30501189			
1.1	242.91904	29.77121641	139.3713371	14.9531255			
1.15	240.8468	30.4234748	135.8811074	14.62444524			
1.2	238.78514	31.06063702	132.5534496	14.3165277			
1.25	236.38191	31.6836177	129.3893928	14.0272751			
1.3	234.4212	32.29324135	126.3870087	13.7548749			
1.35	232.73564	32.89025439	123.5421926	13.49775176			
1.4	230.85287	33.47533512	120.8492917	13.2545291			
1.45	229.26625	34.0491022	118.3016054	13.02399797			
1.5	227.70036	34.61212173	115.8917803	12.80509165			
1.55	226.17912	35.16491334	113.6121179	12.5968649			
