Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 2976	99993902075	29.27782661	1.50011E+13	99977840446	3.618931546	0.100003999	1.0299
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.11	6.8	11.58829235	6.322441149	3.706923983			
0.17	9.5	14.38655491	9.196181975	2.981848416			
0.24	14	17.06672332	12.30346993	2.5095994			
0.31	19.8	19.36596077	15.20998843	2.208153071			
0.38	26.1	21.40746092	17.95405121	1.994427365			
0.45	28.7	23.25927959	20.56041705	1.832752269			
0.52	28.7	24.96374791	23.04656819	1.704937059			
0.59	31.7	26.54933842	25.42559763	1.600604439			
0.66	35.5	28.03630053	27.70773335	1.513345379			
0.73	39.4	29.43965146	29.90122287	1.438959573			
0.8	42.9	30.77089794	32.01288357	1.374564202			
0.87	46	32.03909099	34.04846388	1.31810618			
0.94	49.1	33.25150477	36.0128906	1.268078373			
1.01	49.2	34.41409153	37.91044425	1.223346083			
1.08	51.4	35.53179662	39.74488696	1.183036503			
1.14	57.2	36.45728065	41.26957642	1.151483176			
1.21	63.8	37.5022066	42.99540593	1.117679634			
1.29	67.8	38.65428236	44.90125119	1.082468252			
1.35	69.8	39.49115255	46.28618317	1.058140016			
1.42	71.7	40.44022667	47.85587682	1.031729505			
1.49	74.1	41.36189361	49.37793937	1.007202717			
1.56	76.7	42.2579892	50.85428565	0.98434587			
1.63	79.9	43.13014855	52.28668819	0.962977679			
1.74	83.6	44.45579419	54.45274554	0.932041819			
1.93	83.9	46.62891638	57.96485483	0.884975746			
2.1	88.7	48.46237391	60.87928669	0.848399444			
2.27	85.3	50.20352018	63.59535861	0.816013031			
