Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5985	1.55113E+11	40	6.73348E+14	5.45645E+11	0.394193598	0.100353111	1.07187109
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
3.54	223	90.6502059	115.4426204	1.531881323			
4.23	230	98.05048582	104.2821566	1.401382108			
4.97	248	105.1017832	95.47301154	1.292851245			
5.74	258	111.6659262	88.43193111	1.203014345			
6.47	263	117.2946059	83.06739428	1.133116626			
7.22	272	122.5738035	78.48627693	1.072650287			
8.02	287	127.7265269	74.36380598	1.017746384			
8.79	289	132.2845076	70.96179574	0.972147838			
9.5	292	136.1824815	68.21100804	0.935114841			
10.27	302	140.1176312	65.5652722	0.899376489			
11.08	302	143.9652313	63.09229617	0.865878332			
11.82	304	147.246226	61.06341265	0.838335803			
12.56	303	150.3257212	59.21968358	0.81326472			
13.39	305	153.562576	57.3391469	0.787655779			
14.1	300	156.1654213	55.86585231	0.767568592			
14.93	295	159.0312059	54.28019628	0.745927895			
15.64	294	161.3434562	53.02627352	0.728800023			
16.35	290	163.5373148	51.855731	0.7128003			
17.18	291	165.9630827	50.58124185	0.695368755			
17.89	286	167.9279288	49.56272581	0.681430522			
18.72	287	170.1055133	48.44686118	0.666152758			
19.44	294	171.8974049	47.53773433	0.653700206			
20.26	290	173.83592	46.56231856	0.640334692			
20.98	288	175.4540326	45.75370983	0.629251139			
21.69	290	176.9775678	44.99630055	0.618866503			
22.52	294	178.6733794	44.15692163	0.607354927			
23.23	297	180.0554521	43.47505854	0.598001326			
24.06	293	181.5958672	42.71670171	0.587596149			
24.77	291	182.852864	42.09859183	0.57911358			
25.95	297	184.826378	41.12820146	0.565793653			
28.92	292	189.2255058	38.95516197	0.535954113			
31.76	288	192.7849691	37.17001357	0.51143036			
34.72	285	195.9399898	35.5482659	0.489144184			
