Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5964	1.44906E+11	50.00000007	5.15518E+13	1.84306E+11	11.85633523	0.100001105	1.272256888
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.085485111	20	16.092818	5.90744137	5.709124608			
0.122884847	21	19.28501019	8.192738606	4.76173909			
0.165627403	24	22.37638623	10.69934186	4.101556198			
0.1923415	28	24.10494631	12.22062092	3.806083072			
0.229741236	29	26.33136746	14.30134198	3.482533362			
0.267140972	31	28.37975247	16.33217692	3.22956858			
0.315226347	32	30.80864814	18.87959185	2.973058862			
0.368654542	33	33.2938277	21.63663379	2.749191345			
0.432768375	34	36.04235344	24.85604966	2.537388715			
0.502225028	37	38.79142912	28.24754317	2.355404967			
0.587710139	41	41.91583099	32.30104784	2.177374692			
0.689223708	48	45.33102787	36.9625792	2.010641574			
0.806765736	53	48.96860688	42.17909031	1.858407886			
0.945679041	61	52.92053501	48.12396286	1.716496334			
1.105963625	72	57.10994492	54.72266147	1.587246363			
1.298305125	84	61.72199105	62.31647385	1.464962057			
1.517360722	98	66.53641192	70.58468672	1.355096874			
1.773816055	111	71.70140269	79.81043584	1.253315676			
2.078356763	127	77.30898866	90.2041462	1.157856433			
2.430982847	144	83.23383043	101.5658804	1.070591559			
2.847722763	160	89.60985211	114.1714526	0.989158549			
3.328576513	182	96.29430073	127.7397854	0.91492499			
3.894915374	200	103.4293932	142.5374863	0.845796238			
4.557424985	212	110.9668796	158.4192836	0.781906814			
