Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 3031	3.30874E+14	0.878102678	5.46151E+14	13723577765	0.100005312	0.1	1.9142
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	30.39432	75.19188256	55.93698746	2.036992595			
0.1	55.52418	102.657356	79.76306945	1.440371277			
0.15	78.86404	121.5739816	90.46084976	1.176058223			
0.2	101.77239	135.9414541	93.96553813	1.018496298			
0.25	123.70649	147.3772348	93.41558155	0.910970783			
0.3	145.65477	156.7392399	90.65030989	0.831598745			
0.35	164.45535	164.5502631	86.78279894	0.769910833			
0.4	181.17612	171.1572166	82.48672591	0.720185639			
0.45	202.33282	176.8039757	78.16019934	0.678997532			
0.5	225.0136	181.6692764	74.02634887	0.644153618			
0.55	243.27753	185.8883088	70.19769276	0.614176376			
0.6	257.7103	189.565884	66.71823145	0.588029112			
0.65	269.20541	192.7848952	63.59115862	0.564960096			
0.7	278.18304	195.6119868	60.79697829	0.544409171			
0.75	285.95233	198.101484	58.3051093	0.525949227			
0.8	292.13428	200.2981949	56.08105808	0.509248149			
0.85	296.20251	202.2394566	54.09061031	0.494043272			
0.9	298.67188	203.9566596	52.30206665	0.480123759			
0.95	299.96063	205.4764037	50.68724225	0.467318151			
1	300.02927	206.8213884	49.22172453	0.455485391			
1.05	298.78934	208.011107	47.88471885	0.444508227			
1.1	296.94861	209.0623956	46.65869203	0.434288281			
1.15	294.58011	209.9898707	45.52894146	0.424742317			
1.2	290.33035	210.8062821	44.48316191	0.415799372			
1.25	283.82843	211.5228001	43.51104706	0.407398519			
1.3	276.45215	212.1492499	42.60394133	0.399487115			
1.35	268.38205	212.6943061	41.75454515	0.392019408			
1.4	258.72025	213.165654	40.95667075	0.384955416			
1.45	249.52823	213.5701238	40.20504246	0.378260029			
1.5	240.97278	213.9138042	39.49513472	0.371902265			
1.55	233.53459	214.2021382	38.82304133	0.36585467			
1.6	227.43639	214.4400042	38.18536998	0.360092819			
1.65	222.63687	214.6317853	37.57915717	0.354594896			
