Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 6674	2.26453E+12	58.3121319	1.07781E+15	91847207103	0.105710007	0.1	1.0838
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	76.875	52.5724763	78.09291405	5.269734728			
0.1	131.875	74.30627074	112.6173045	3.726265161			
0.15	166.25	90.95431835	129.015229	3.042482764			
0.2	189.40625	104.965146	135.2372	2.634867364			
0.25	205.125	117.2877722	135.5380245	2.356697015			
0.3	217.15625	128.4092088	132.4567162	2.151360194			
0.35	228	138.6189382	127.5661672	1.991772509			
0.4	237.21875	148.1056878	121.8472938	1.86313258			
0.45	244.375	157.0006271	115.9032499	1.756578243			
0.5	249.9375	165.3993176	110.0918869	1.66643644			
0.55	254.375	173.373944	104.6114672	1.588884803			
0.6	257.9375	180.9806209	99.55760184	1.521241382			
0.65	260.875	188.2640004	94.96153983	1.461561444			
0.7	263.3125	195.2603086	90.81592592	1.408395848			
0.75	265.375	201.9994191	87.09194035	1.360639656			
0.8	267.1875	208.5063138	83.75044747	1.317433682			
0.85	268.875	214.8021371	80.74898811	1.278098406			
0.9	270.46875	220.9049755	78.04592763	1.242088387			
0.95	272	226.8304441	75.60270488	1.20896006			
1	273.29688	232.5921359	73.38485722	1.178348507			
1.05	274.1875	238.2019717	71.36229393	1.149950394			
1.1	274.875	243.6704745	69.50913918	1.123511219			
1.15	275.5625	249.0069902	67.80335431	1.098815649			
1.2	276.29688	254.219864	66.22627082	1.075680097			
1.25	277.125	259.3165849	64.76211141	1.053946946			
